n,grp,estimate,p.value,mntc_distinv,mntc_tier2
3,x123y123,1,0.3333333333333333,1,"(0.5,1]"
3,x123y132,0.5,1,0.44444444444444436,"(-0.001,0.5]"
3,x123y213,0.5,1,0.6666666666666666,"(0.5,1]"
3,x123y231,-0.5,1,0,"(-0.001,0.5]"
3,x123y312,-0.5,1,0.22222222222222218,"(-0.001,0.5]"
3,x123y321,-1,0.3333333333333333,0.11111111111111116,"(-0.001,0.5]"
3,x132y123,0.5,1,0.44444444444444436,"(-0.001,0.5]"
3,x132y132,1,0.3333333333333333,1,"(0.5,1]"
3,x132y213,-0.5,1,0,"(-0.001,0.5]"
3,x132y231,0.5,1,0.6666666666666666,"(0.5,1]"
3,x132y312,-1,0.3333333333333333,0.11111111111111116,"(-0.001,0.5]"
3,x132y321,-0.5,1,0.22222222222222218,"(-0.001,0.5]"
3,x213y123,0.5,1,0.6666666666666666,"(0.5,1]"
3,x213y132,-0.5,1,0.22222222222222218,"(-0.001,0.5]"
3,x213y213,1,0.3333333333333333,1,"(0.5,1]"
3,x213y231,-1,0.3333333333333333,0.11111111111111116,"(-0.001,0.5]"
3,x213y312,0.5,1,0.44444444444444436,"(-0.001,0.5]"
3,x213y321,-0.5,1,0,"(-0.001,0.5]"
3,x231y123,-0.5,1,0.22222222222222218,"(-0.001,0.5]"
3,x231y132,0.5,1,0.6666666666666666,"(0.5,1]"
3,x231y213,-1,0.3333333333333333,0.11111111111111116,"(-0.001,0.5]"
3,x231y231,1,0.3333333333333333,1,"(0.5,1]"
3,x231y312,-0.5,1,0,"(-0.001,0.5]"
3,x231y321,0.5,1,0.44444444444444436,"(-0.001,0.5]"
3,x312y123,-0.5,1,0,"(-0.001,0.5]"
3,x312y132,-1,0.3333333333333333,0.11111111111111116,"(-0.001,0.5]"
3,x312y213,0.5,1,0.44444444444444436,"(-0.001,0.5]"
3,x312y231,-0.5,1,0.22222222222222218,"(-0.001,0.5]"
3,x312y312,1,0.3333333333333333,1,"(0.5,1]"
3,x312y321,0.5,1,0.6666666666666666,"(0.5,1]"
3,x321y123,-1,0.3333333333333333,0.11111111111111116,"(-0.001,0.5]"
3,x321y132,-0.5,1,0,"(-0.001,0.5]"
3,x321y213,-0.5,1,0.22222222222222218,"(-0.001,0.5]"
3,x321y231,0.5,1,0.44444444444444436,"(-0.001,0.5]"
3,x321y312,0.5,1,0.6666666666666666,"(0.5,1]"
3,x321y321,1,0.3333333333333333,1,"(0.5,1]"
4,x1234y1234,1,0.08333333333333333,1,"(0.5,1]"
4,x1234y1243,0.8,0.3333333333333333,0.6666666666666666,"(0.5,1]"
4,x1234y1324,0.8,0.3333333333333333,0.7619047619047619,"(0.5,1]"
4,x1234y1342,0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1234y1423,0.4,0.75,0.47619047619047616,"(-0.001,0.5]"
4,x1234y1432,0.2,0.9166666666666666,0.42857142857142855,"(-0.001,0.5]"
4,x1234y2134,0.8,0.3333333333333333,0.8571428571428571,"(0.5,1]"
4,x1234y2143,0.6000000000000001,0.4166666666666667,0.5238095238095238,"(0.5,1]"
4,x1234y2314,0.4,0.75,0.5714285714285714,"(0.5,1]"
4,x1234y2341,-0.2,0.9166666666666666,0.14285714285714285,"(-0.001,0.5]"
4,x1234y2413,0,1,0.2857142857142857,"(-0.001,0.5]"
4,x1234y2431,-0.4,0.75,0.19047619047619047,"(-0.001,0.5]"
4,x1234y3124,0.4,0.75,0.6666666666666666,"(0.5,1]"
4,x1234y3142,0,1,0.2857142857142857,"(-0.001,0.5]"
4,x1234y3214,0.2,0.9166666666666666,0.6190476190476191,"(0.5,1]"
4,x1234y3241,-0.4,0.75,0.19047619047619047,"(-0.001,0.5]"
4,x1234y3412,-0.6000000000000001,0.4166666666666667,0.047619047619047616,"(-0.001,0.5]"
4,x1234y3421,-0.8,0.3333333333333333,0,"(-0.001,0.5]"
4,x1234y4123,-0.2,0.9166666666666666,0.42857142857142855,"(-0.001,0.5]"
4,x1234y4132,-0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1234y4213,-0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1234y4231,-0.8,0.3333333333333333,0.2857142857142857,"(-0.001,0.5]"
4,x1234y4312,-0.8,0.3333333333333333,0.09523809523809523,"(-0.001,0.5]"
4,x1234y4321,-1,0.08333333333333333,0.047619047619047616,"(-0.001,0.5]"
4,x1243y1234,0.8,0.3333333333333333,0.6666666666666666,"(0.5,1]"
4,x1243y1243,1,0.08333333333333333,1,"(0.5,1]"
4,x1243y1324,0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1243y1342,0.8,0.3333333333333333,0.7619047619047619,"(0.5,1]"
4,x1243y1423,0.2,0.9166666666666666,0.42857142857142855,"(-0.001,0.5]"
4,x1243y1432,0.4,0.75,0.47619047619047616,"(-0.001,0.5]"
4,x1243y2134,0.6000000000000001,0.4166666666666667,0.5238095238095238,"(0.5,1]"
4,x1243y2143,0.8,0.3333333333333333,0.8571428571428571,"(0.5,1]"
4,x1243y2314,-0.2,0.9166666666666666,0.14285714285714285,"(-0.001,0.5]"
4,x1243y2341,0.4,0.75,0.5714285714285714,"(0.5,1]"
4,x1243y2413,-0.4,0.75,0.19047619047619047,"(-0.001,0.5]"
4,x1243y2431,0,1,0.2857142857142857,"(-0.001,0.5]"
4,x1243y3124,0,1,0.2857142857142857,"(-0.001,0.5]"
4,x1243y3142,0.4,0.75,0.6666666666666666,"(0.5,1]"
4,x1243y3214,-0.4,0.75,0.19047619047619047,"(-0.001,0.5]"
4,x1243y3241,0.2,0.9166666666666666,0.6190476190476191,"(0.5,1]"
4,x1243y3412,-0.8,0.3333333333333333,0,"(-0.001,0.5]"
4,x1243y3421,-0.6000000000000001,0.4166666666666667,0.047619047619047616,"(-0.001,0.5]"
4,x1243y4123,-0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1243y4132,-0.2,0.9166666666666666,0.42857142857142855,"(-0.001,0.5]"
4,x1243y4213,-0.8,0.3333333333333333,0.2857142857142857,"(-0.001,0.5]"
4,x1243y4231,-0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1243y4312,-1,0.08333333333333333,0.047619047619047616,"(-0.001,0.5]"
4,x1243y4321,-0.8,0.3333333333333333,0.09523809523809523,"(-0.001,0.5]"
4,x1324y1234,0.8,0.3333333333333333,0.7619047619047619,"(0.5,1]"
4,x1324y1243,0.4,0.75,0.47619047619047616,"(-0.001,0.5]"
4,x1324y1324,1,0.08333333333333333,1,"(0.5,1]"
4,x1324y1342,0.2,0.9166666666666666,0.42857142857142855,"(-0.001,0.5]"
4,x1324y1423,0.8,0.3333333333333333,0.6666666666666666,"(0.5,1]"
4,x1324y1432,0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1324y2134,0.4,0.75,0.5714285714285714,"(0.5,1]"
4,x1324y2143,0,1,0.2857142857142857,"(-0.001,0.5]"
4,x1324y2314,0.8,0.3333333333333333,0.8571428571428571,"(0.5,1]"
4,x1324y2341,-0.4,0.75,0.19047619047619047,"(-0.001,0.5]"
4,x1324y2413,0.6000000000000001,0.4166666666666667,0.5238095238095238,"(0.5,1]"
4,x1324y2431,-0.2,0.9166666666666666,0.14285714285714285,"(-0.001,0.5]"
4,x1324y3124,0.2,0.9166666666666666,0.6190476190476191,"(0.5,1]"
4,x1324y3142,-0.6000000000000001,0.4166666666666667,0.047619047619047616,"(-0.001,0.5]"
4,x1324y3214,0.4,0.75,0.6666666666666666,"(0.5,1]"
4,x1324y3241,-0.8,0.3333333333333333,0,"(-0.001,0.5]"
4,x1324y3412,0,1,0.2857142857142857,"(-0.001,0.5]"
4,x1324y3421,-0.4,0.75,0.19047619047619047,"(-0.001,0.5]"
4,x1324y4123,-0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1324y4132,-0.8,0.3333333333333333,0.09523809523809523,"(-0.001,0.5]"
4,x1324y4213,-0.2,0.9166666666666666,0.42857142857142855,"(-0.001,0.5]"
4,x1324y4231,-1,0.08333333333333333,0.047619047619047616,"(-0.001,0.5]"
4,x1324y4312,-0.4,0.75,0.38095238095238093,"(-0.001,0.5]"
4,x1324y4321,-0.8,0.3333333333333333,0.2857142857142857,"(-0.001,0.5]"
4,x1342y1234,0.4,0.75,0.47619047619047616,"(-0.001,0.5]"
